CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
Dennis E. Foster,360 COMMUNICATIONS CO,Current,2/6/1996,1997,472.567,57,pres. & CEO,MALE,Chicago,IL,XO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XO
Eric A. Benhamou,3COM CORP,1/1/2001,9/1/1990,2000,619.551,45,chairman & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Bruce L. Claflin,3COM CORP,1/11/2006,1/1/2001,2005,622.835,53,president & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Edgar Masri,3COM CORP,4/1/2008,8/18/2006,2007,617.5,50,former president & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Yu-Lang Mao,3COM CORP,Current,4/29/2008,2008,650,65,CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Abraham N. Reichental,3D SYSTEMS CORP,10/28/2015,9/19/2003,2015,797.972,58,"Chief Executive Officer, President, Executive Director, Member of Executive Committee and Member of Sustainability Committee",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Vyomesh I. Joshi,3D SYSTEMS CORP,5/26/2020,4/1/2016,2019,953,65,"President, CEO & Director",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
"Jeffrey Alan Graves, Ph.D.",3D SYSTEMS CORP,Current,5/26/2020,2022,849.8,61,"President, CEO & Director",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Menno Ellis,3D SYSTEMS CORP,Current,,2020,376.562,47,Executive Vice President of Healthcare Solutions,MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Livio D. DeSimone,3M CO,12/31/2000,11/1/1991,2000,1047.6,63,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"W. James McNerney, Jr.",3M CO,6/30/2005,1/1/2001,2004,1624.333,55,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Robert S. Morrison,3M CO,12/6/2005,6/30/2005,2005,604.545,63,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"George W. Buckley, Ph.D.",3M CO,2/24/2012,12/1/2005,2011,1720,64,Chairman,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"Inge G. Thulin, M.B.A.",3M CO,6/1/2018,2/24/2012,2017,1526.595,63,"Chairman, CEO & President",MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Michael F. Roman,3M CO,5/1/2024,7/1/2018,2023,1464.544,63,Chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Alfred R. Kahn,4LICENSING CORP,1/10/2011,3/1/1991,2011,Mentioned as zero,64,Chairman and Chief Executive Officer,MALE,New York,NY,FOURQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOURQ
"Bruce R. Foster, CPA, CPA",4LICENSING CORP,Current,10/16/2012,2014,250,54,"Chief Executive Officer, Chief Financial Officer, Principal Accounting Officer, Executive Vice President and Director",MALE,New York,NY,FOURQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOURQ
Bryan R. Martin,8X8 INC,9/9/2013,2/1/2002,2012,275,45,Executive Chairman and Chief Executive Officer,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
Vikram Verma,8X8 INC,12/10/2020,9/9/2013,2020,447.504,56,CEO & Director,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
David D. Sipes,8X8 INC,11/30/2022,12/10/2020,2022,367.944,56,CEO & Director,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
David Gold,99 CENTS ONLY STORES,Current,1/1/1965,2004,114.423,73,chairman & CEO,MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Eric J. Schiffer,99 CENTS ONLY STORES,1/1/2013,1/1/2005,2012,499.373,52,"Chief Executive Officer, Assistant Corporate Secretary, Director and Chairman of the Executive Committee",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Richard A. Anicetti,99 CENTS ONLY STORES,9/1/2013,1/1/2013,2013,476.167,56,"Interim Chief Executive Officer, Interim President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
"Stephane Gonthier, LLB, MBA",99 CENTS ONLY STORES,5/1/2015,9/1/2013,2014,910.385,48,"Chief Executive Officer, President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Geoffrey J. Covert,99 CENTS ONLY STORES,2/1/2018,9/11/2015,2016,900,66,"Chief Executive Officer, President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Gary D. Lemke,A S V INC,6/1/2006,7/1/2004,2005,231.5,65,chairman & CEO,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Richard A. Benson,A S V INC,Current,6/1/2006,2006,105000,64,chairman & CEO,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Andrew M. Rooke,A S V INC,12/1/2019,12/1/2016,2016,341.856,58,Chief Executive Officer,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Lee Chen,A10 NETWORKS INC,12/2/2019,7/1/2004,2019,Mentioned as zero,65,"Founder, Chairman, Chief Executive Officer and President",MALE,San Jose,CA,ATEN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATEN
Dhrupad Trivedi,A10 NETWORKS INC,Current,12/2/2019,2023,672.917,56,"Board Chair, President & CEO",MALE,San Jose,CA,ATEN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATEN
Norman H. Asbjornson,AAON INC,5/1/2020,1/1/1989,2019,480.96,83,Founder & Executive Chairman,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Gary D. Fields,AAON INC,Current,5/12/2020,2023,745.192,63,CEO & Director,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Scott M. Asbjornson,AAON INC,Current,,2011,176.063,42,President of AAON Coil Products Inc,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Ira A. Eichner,AAR CORP,10/1/1996,1/1/1955,1995,498.4,65,chmn. & CEO,MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
David P. Storch,AAR CORP,5/31/2018,10/9/1996,2017,941,65,Chairman & CEO,MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
"John McClain Holmes, III",AAR CORP,Current,6/1/2018,2022,1000,46,"CEO, President & Chairman of the Board",MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
Douglas A. Lindsay,AARONS CO INC (THE),Current,11/30/2020,2023,850,52,CEO & Director,MALE,Atlanta,GA,AAN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAN
Clinton H. Severson,ABAXIS INC,Current,6/1/1996,2017,575,70,Chairman of the Board & CEO,MALE,Union City,CA,ABAX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABAX
Timothy M. Aitken,ABBEY HEALTHCARE GROUP INC,11/10/1993,8/1/1991,1994,350,50,"chmn., CEO & pres.",MALE,Costa Mesa,CA,ABBY.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBY.1
Duane L. Burnham,ABBOTT LABORATORIES,12/31/1998,12/1/1989,1998,913.077,56,chmn.,MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
"Miles D. White, M.B.A.",ABBOTT LABORATORIES,3/31/2020,1/1/1999,2019,1900,64,Executive Chairman,MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
Robert B. Ford,ABBOTT LABORATORIES,Current,3/31/2020,2023,1500,49,"Chairman of the Board, President & CEO",MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
